,이름
0,"LG전자 [MD추천] 일반 세탁기 TR12WL (12kg, 펀치물살, 3모션, 인버터모터, 위생세탁, 화이트)"
1,LG전자 [MD추천] 트롬 21kg 드럼세탁기 F21WDSP
2,삼성전자 [MD추천] 아가사랑 세탁기 3kg WA30T2101BV (블랙 케비어)
3,"삼성전자 [MD추천] 드럼 세탁기 WF21T6000KP (21kg, 버블세탁, 삶은세탁, 무세제통세척, 이녹스)"
